1226 20 5
1 0 0 43
0 0 43 72
14 0 72 78
16 0 78 115
17 0 115 201
10 0 201 212
11 0 218 229
19 0 229 242
8 0 242 318
15 0 318 413
4 0 413 439
6 0 439 500
12 0 500 585
18 0 585 596
2 0 596 635
13 0 635 734
7 0 734 766
3 0 772 843
9 0 970 1034
5 0 1034 1081
10 1 0 78
1 1 78 153
15 1 153 155
4 1 155 177
16 1 177 198
0 1 198 207
17 1 207 281
11 1 281 309
18 1 309 378
19 1 378 385
6 1 385 431
5 1 431 483
2 1 483 574
14 1 574 635
7 1 635 681
12 1 681 691
3 1 691 772
13 1 772 824
9 1 824 909
8 1 909 949
4 2 0 14
5 2 14 98
16 2 115 128
11 2 128 218
1 2 222 268
7 2 268 299
13 2 299 394
19 2 394 470
0 2 470 519
18 2 519 570
12 2 585 659
6 2 659 691
2 2 691 781
8 2 781 866
10 2 866 887
9 2 909 970
14 2 970 1019
17 2 1019 1067
3 2 1067 1152
15 2 1152 1177
10 3 78 114
1 3 153 222
16 3 222 311
8 3 318 394
11 3 394 440
15 3 440 512
19 3 512 564
4 3 564 585
0 3 585 647
18 3 647 736
12 3 736 825
7 3 825 844
6 3 844 876
13 3 876 974
2 3 974 1019
14 3 1019 1072
9 3 1072 1119
5 3 1119 1125
17 3 1125 1204
3 3 1204 1226
10 4 212 268
1 4 268 340
17 4 340 428
16 4 428 483
5 4 483 531
15 4 531 596
11 4 596 626
4 4 626 698
19 4 698 743
14 4 743 812
2 4 812 824
12 4 825 858
0 4 858 902
7 4 902 938
18 4 938 1012
3 4 1012 1021
13 4 1021 1064
8 4 1064 1090
6 4 1090 1120
9 4 1120 1210
